instance,real,cpu,ram,timeout,memout,status,fault.localization.time,answer.set.enum.time,smt.enum.construction.time,smt.enum.time,build_program.time,block.time,eval.time,grounding.time,tmp.1.time,tmp.2.time,enumerated.count,blocked.count,eval.failed.count,eval.failed.time,sat.calls.count,sat.calls.unique.count,unsat.calls.count,unsat.calls.unique.count,candidate.checks.multicount,ground_truth.checks.multicount,total.time
toy_example,0.308214,0.266751,32592,False,False,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000755,0.000000,0.000000,0,0,0,0.000000,0,0,0,0,Counter(),Counter(),0.205905
toy_example_,0.315051,0.270833,31600,False,False,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000265,0.000000,0.000000,0,0,0,0.000000,0,0,0,0,Counter(),Counter(),0.207179
nqueens/3,106.365,106.318,94764,False,False,0,0.000000,0.000000,2.619524,0.000000,0.000000,5.770046,0.000000,22.599518,0.000000,0.000000,0,0,0,0.000000,0,8,0,5,Counter(),Counter(),106.256460
nqueens/0,7.42786,7.04721,77684,False,False,0,0.000000,0.000000,0.178258,0.000000,0.000000,0.010879,0.000000,1.976539,0.000000,0.000000,0,0,0,0.000000,0,5,0,1,Counter(),Counter(),7.158823
nqueens/5,36.5551,36.5113,85396,False,False,0,0.000000,0.000000,2.635632,0.000000,0.000000,1.819281,0.000000,9.246635,0.000000,0.000000,0,0,0,0.000000,0,12,0,16,Counter(),Counter(),36.445711
nqueens/2,0.354994,0.313826,32720,False,False,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.022027,0.000000,0.000000,0,0,0,0.000000,0,0,0,0,Counter(),Counter(),0.249099
nqueens/4,6.80166,6.76754,77672,False,False,0,0.000000,0.000000,0.408237,0.000000,0.000000,0.013286,0.000000,1.879841,0.000000,0.000000,0,0,0,0.000000,0,5,0,1,Counter(),Counter(),6.706249
nqueens/1,6.42621,6.38376,77360,False,False,0,0.000000,0.000000,0.183158,0.000000,0.000000,0.002687,0.000000,1.843593,0.000000,0.000000,0,0,0,0.000000,0,5,0,1,Counter(),Counter(),6.319931
shortest_path/0,0.320602,0.278752,40688,False,False,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.012356,0.000000,0.000000,0,0,0,0.000000,0,0,0,0,Counter(),Counter(),0.219949
exam_1920_1/0,0.574213,0.526234,67348,False,False,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003117,0.000000,0.000000,0,0,0,0.000000,0,0,0,0,Counter(),Counter(),0.472049
exam_1920_1/1,0.33751,0.293491,32168,False,False,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002676,0.000000,0.000000,0,0,0,0.000000,0,0,0,0,Counter(),Counter(),0.230179
exam_2122/0,0.507388,0.464625,66792,False,False,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.009489,0.000000,0.000000,0,0,0,0.000000,0,0,0,0,Counter(),Counter(),0.406419
exam_2122/1,0.448739,0.325333,30244,False,False,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003678,0.000000,0.000000,0,0,0,0.000000,0,0,0,0,Counter(),Counter(),0.307723
sitting/0,0.998126,0.933905,67300,False,False,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.009861,0.000000,0.000000,0,0,0,0.000000,0,0,0,0,Counter(),Counter(),0.893022
exam_1920_2/0,0.587071,0.546335,66984,False,False,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.025742,0.000000,0.000000,0,0,0,0.000000,0,0,0,0,Counter(),Counter(),0.487265
