instance,real,cpu,ram,timeout,memout,status,fault.localization.time,answer.set.enum.time,smt.enum.construction.time,smt.enum.time,build_program.time,block.time,eval.time,grounding.time,tmp.1.time,tmp.2.time,enumerated.count,blocked.count,eval.failed.count,eval.failed.time,sat.calls.count,sat.calls.unique.count,unsat.calls.count,unsat.calls.unique.count,candidate.checks.multicount,ground_truth.checks.multicount,total.time
toy_example,0.606249,0.333494,37544,False,False,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000724,0.000000,0.000000,0,0,0,0.000000,0,0,0,0,Counter(),Counter(),0.415165
toy_example_,0.311259,0.267867,32008,False,False,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000278,0.000000,0.000000,0,0,0,0.000000,0,0,0,0,Counter(),Counter(),0.201475
nqueens/3,42.3669,42.3168,88296,False,False,0,0.038935,3.525629,2.603783,15.935452,1.539754,1.941776,9.849678,8.727651,1.659006,0.126351,2192,0,0,0.000000,19,7,350,6,"Counter({1: 1824, 'inf': 351, 2: 10, 3: 5, 5: 1, 4: 1})","Counter({1: 336, 2: 14, 'inf': 1})",42.257983
nqueens/0,6.96052,6.71787,77492,False,False,0,0.025364,3.448346,0.179587,0.035622,0.011616,0.011097,0.063261,2.024912,0.012222,0.005452,26,0,0,0.000000,5,5,6,1,"Counter({1: 19, 'inf': 7})","Counter({1: 6, 'inf': 1})",6.758150
nqueens/5,16.024,15.9686,81616,False,False,0,0.024611,3.510585,2.564237,1.090762,0.367572,0.359641,2.963943,3.688581,0.562733,0.220576,869,0,0,0.000000,18,7,265,3,"Counter({1: 522, 'inf': 266, 2: 52, 3: 21, 5: 5, 4: 3})","Counter({1: 252, 2: 13, 'inf': 1})",15.913981
nqueens/2,0.523473,0.366897,40292,False,False,0,0.020675,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.022192,0.000000,0.000000,0,0,0,0.000000,0,0,0,0,Counter(),Counter(),0.357922
nqueens/4,6.93893,6.89185,77404,False,False,0,0.022204,3.344158,0.407780,0.048844,0.013728,0.012903,0.072876,1.955400,0.013877,0.005405,30,0,0,0.000000,5,5,6,1,"Counter({1: 22, 'inf': 7, 2: 1})","Counter({1: 6, 'inf': 1})",6.833099
nqueens/1,6.47987,6.44407,72804,False,False,0,0.018864,3.252936,0.177074,0.012701,0.002785,0.002724,0.013056,1.855184,0.003178,0.004212,6,0,0,0.000000,5,5,1,1,"Counter({1: 4, 'inf': 2})","Counter({1: 1, 'inf': 1})",6.377296
shortest_path/0,0.377932,0.33213,41980,False,False,0,0.009836,0.025587,0.000000,0.000000,0.000000,0.000000,0.000000,0.015268,0.000000,0.000000,0,0,0,0.000000,0,0,0,0,Counter(),Counter(),0.272098
exam_1920_1/0,0.568082,0.522666,67012,False,False,0,0.002520,0.010175,0.000000,0.000000,0.000000,0.000000,0.000000,0.003079,0.000000,0.000000,0,0,0,0.000000,0,0,0,0,Counter(),Counter(),0.466610
exam_1920_1/1,0.272806,0.236039,40236,False,False,0,0.003290,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002058,0.000000,0.000000,0,0,0,0.000000,0,0,0,0,Counter(),Counter(),0.179071
exam_2122/0,0.555567,0.511301,66504,False,False,0,0.003147,0.037770,0.000000,0.000000,0.000000,0.000000,0.000000,0.012168,0.000000,0.000000,0,0,0,0.000000,0,0,0,0,Counter(),Counter(),0.450706
exam_2122/1,0.348191,0.305877,33728,False,False,0,0.003846,0.013534,0.000000,0.000000,0.000000,0.000000,0.000000,0.004658,0.000000,0.000000,0,0,0,0.000000,0,0,0,0,Counter(),Counter(),0.244685
sitting/0,0.923616,0.884533,67720,False,False,0,0.005406,0.013856,0.000000,0.000000,0.000000,0.000000,0.000000,0.007899,0.000000,0.000000,0,0,0,0.000000,0,0,0,0,Counter(),Counter(),0.823364
exam_1920_2/0,0.642312,0.59636,67520,False,False,0,0.005328,0.078796,0.000000,0.000000,0.000000,0.000000,0.000000,0.029237,0.000000,0.000000,0,0,0,0.000000,0,0,0,0,Counter(),Counter(),0.538572
