instance,real,cpu,ram,timeout,memout,status,fault.localization.time,answer.set.enum.time,smt.enum.construction.time,smt.enum.time,build_program.time,block.time,eval.time,grounding.time,tmp.1.time,tmp.2.time,enumerated.count,blocked.count,eval.failed.count,eval.failed.time,sat.calls.count,sat.calls.unique.count,unsat.calls.count,unsat.calls.unique.count,candidate.checks.multicount,ground_truth.checks.multicount,total.time
toy_example,0.297298,0.24528,36496,False,False,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000582,0.000000,0.000000,0,0,0,0.000000,0,0,0,0,Counter(),Counter(),0.185042
toy_example_,0.312809,0.268364,30972,False,False,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000226,0.000000,0.000000,0,0,0,0.000000,0,0,0,0,Counter(),Counter(),0.208345
nqueens/3,600.102,600.015,121916,True,False,,,,,,,,,,,,,,,,,,,,,,
nqueens/0,1.93039,1.62385,76436,False,False,0,0.000000,0.000000,0.058744,0.000000,0.000000,0.004453,0.000000,0.065488,0.000000,0.000000,0,0,0,0.000000,0,5,0,1,Counter(),Counter(),1.694665
nqueens/5,1.39498,1.35104,71276,False,False,0,0.000000,0.000000,0.059361,0.000000,0.000000,0.001882,0.000000,0.040431,0.000000,0.000000,0,0,0,0.000000,0,5,0,1,Counter(),Counter(),1.289633
nqueens/2,0.29516,0.260833,40956,False,False,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.016951,0.000000,0.000000,0,0,0,0.000000,0,0,0,0,Counter(),Counter(),0.198236
nqueens/4,1.65046,1.61619,73928,False,False,0,0.000000,0.000000,0.107381,0.000000,0.000000,0.017544,0.000000,0.164267,0.000000,0.000000,0,0,0,0.000000,0,5,0,2,Counter(),Counter(),1.552915
nqueens/1,1.36475,1.32797,74412,False,False,0,0.000000,0.000000,0.057315,0.000000,0.000000,0.004251,0.000000,0.056355,0.000000,0.000000,0,0,0,0.000000,0,5,0,1,Counter(),Counter(),1.263408
shortest_path/0,0.302855,0.264433,40816,False,False,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.006589,0.000000,0.000000,0,0,0,0.000000,0,0,0,0,Counter(),Counter(),0.206509
exam_1920_1/0,1.23283,1.19693,71704,False,False,0,0.000000,0.000000,0.374845,0.000000,0.000000,0.064827,0.000000,0.069633,0.000000,0.000000,0,0,0,0.000000,0,1,0,1,Counter(),Counter(),1.132373
exam_1920_1/1,0.327342,0.287145,32688,False,False,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002628,0.000000,0.000000,0,0,0,0.000000,0,0,0,0,Counter(),Counter(),0.226279
exam_2122/0,0.361762,0.322063,40828,False,False,0,0.000000,0.000000,0.060741,0.000000,0.000000,0.000529,0.000000,0.002785,0.000000,0.000000,0,0,0,0.000000,0,2,0,1,Counter(),Counter(),0.260098
exam_2122/1,0.285895,0.250527,40592,False,False,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002250,0.000000,0.000000,0,0,0,0.000000,0,0,0,0,Counter(),Counter(),0.188524
sitting/0,600.066,600.017,97788,True,False,,,,,,,,,,,,,,,,,,,,,,
exam_1920_2/0,1.07333,0.679962,70048,False,False,0,0.000000,0.000000,0.097945,0.000000,0.000000,0.003913,0.000000,0.011580,0.000000,0.000000,0,0,0,0.000000,0,5,0,1,Counter(),Counter(),0.789834
